id,created_at,text,retweets,favorites
601030728118337536,2015-05-20 14:24:26,"#Trade will bring new #jobs and opportunities to LA. It's about creating a level playing field for ag, oil, manufacturing, &amp; LA industries.",1,1
601024920307507200,2015-05-20 14:01:22,I'll be on @kpel965 w Moon Griffon this morning to talk about my fight for LA #jobs &amp; opportunity. Tune in @ 9:15 CT! http://t.co/9HXlQKew00,1,0
600368674415968256,2015-05-18 18:33:40,RT @StopTheHIT: Take a look at this great video from the #smallbiz event w/ @RepBoustany &amp; @RepGarretGraves http://t.co/wpv16UCdOP,3,0
600319488043708417,2015-05-18 15:18:14,Congrats to Step-Ko Products of Broussard for receiving the LED Entrepreneur Award! http://t.co/ytM3m2BBQW @LEDLouisiana,0,0
599214501217456128,2015-05-15 14:07:24,Proud to work together with @SteveScalise &amp; @RepRichmond to protect #jobs of disabled workers in LA. https://t.co/T6OKKUJ1Yf,4,2
599210618017619969,2015-05-15 13:51:58,RT @SteveScalise: NEWS: House votes to protect #jobs of disabled Americans. Proud to fight w/@RepBoustany &amp; @RepRichmond for solutions. htt…,5,0
598919591142825987,2015-05-14 18:35:32,Great news as Senate opens debate on #TPA4USJobs - important for getting agreements that will create LA #jobs.,1,2
598588115767435264,2015-05-13 20:38:22,"RT @TheCLBryantshow: “@Bhold226: Thank you 4 your remarks 2day &amp; tweets,  @RepBoustany &amp; Rep @SteveScalise  #HR36 #theyfeelpain @TheCLBryan…",3,0
598566401167634432,2015-05-13 19:12:05,24 states including LA have acted to ban late-term abortions. Let's protect life in all 50 states. https://t.co/UBUTn2vtMw @LARighttoLife,1,1
598563642691293184,2015-05-13 19:01:07,.@USCBO says Pain-Capable Unborn Child Protection Act could save 2750 lives each year. https://t.co/UBUTn2vtMw #theyfeelpain #prolife,3,2
598561050586415104,2015-05-13 18:50:49,"Today US is 1 of just 7 nations, including N Korea and China, w/o ban on elective late-term abortions. https://t.co/UBUTn2dSUY #theyfeelpain",3,2
598557852395966465,2015-05-13 18:38:07,"The science is clear: at 20 weeks, #theyfeelpain. It's time to recognize every life is precious. https://t.co/UBUTn2vtMw @LARighttoLife",8,6
598555572414189568,2015-05-13 18:29:03,As a surgeon I fought to save lives on the operating table. In Congress I'm fighting to save unborn. https://t.co/UBUTn2vtMw #theyfeelpain,4,2
598553065852182528,2015-05-13 18:19:06,Today I spoke on the House floor to defend those without a voice. #theyfeelpain @LARighttoLife @SBAList https://t.co/UBUTn2dSUY #prolife,12,8
598542993444995073,2015-05-13 17:39:04,"RT @LARighttoLife: @RepBoustany Great words!  ""As a medical doctor, I took an oath to protect life..."" #theyfeelpain http://t.co/fdIaOiCrUQ",3,0
598542732991328256,2015-05-13 17:38:02,RT @SBAList: .@RepBoustany - another doctor - speaking in favor of #hr36 - just cited @LozierInstitute during floor debate #theyfeelpain,7,0
598527536478429184,2015-05-13 16:37:39,RT @LARighttoLife: We appreciate @RepBoustany for co-sponsoring #HR36!  Thanks for standing to protect babies that feel pain!  #theyfeelpain,14,0
598206395540975617,2015-05-12 19:21:33,If we fail on #TPA4USJobs Congress will be telling our trading partners we aren't willing to lead. I'm for US leadership. #SupplyChain15,8,0
598206126019186688,2015-05-12 19:20:29,#TPA4USJobs is Congress putting full weight behind our #trade negotiators to ensure the American people get a great deal. #SupplyChain15,1,1
598205782082068480,2015-05-12 19:19:07,"We can't achieve the kind of strong, meaningful 21st century #trade agreements we need without #TPA4USJobs. #SupplyChain15",1,2
598205513457893376,2015-05-12 19:18:03,Addressing #SupplyChain15 on the importance of #trade for #SmallBusiness and #jobs for working families. http://t.co/mNlm8jzJKW,1,3
598204357365084161,2015-05-12 19:13:27,Getting ready to address #SupplyChain15 on #TPA4USJobs &amp; importance for #job creation.,2,0
598148281819131904,2015-05-12 15:30:38,RT @SteveScalise: RT if you’re proud of this big news for #Louisiana: Our state ranks 7th best in the nation for business! http://t.co/DtFo…,17,0
598147966138974208,2015-05-12 15:29:22,RT @khviator: Thank you Parker @RepBoustany for visiting with@ALS_Assoc_LA_MS @ALSPublicPolicy we look forward to working with you. http://…,4,0
597866842154205185,2015-05-11 20:52:17,"Welcome, Senator! MT @BillCassidy Ribbon cutting opening Lafayette Regional Office this morning. Thanks to @RepBoustany who stopped by.",4,2
597866471927226368,2015-05-11 20:50:49,RT @BillCassidy: Ribbon cutting opening the Lafayette Regional Office this morning. Thanks to @RepBoustany and everyone who stopped by http…,8,0
596796865015902210,2015-05-08 22:00:35,RT @kpel965: Good news for local veterans.http://t.co/Wpd1lzsPUi,3,0
596772838956118016,2015-05-08 20:25:06,RT @DawnNFIB: Thanks for all you do for #smallbiz @RepBoustany! You truly understand the issues @NFIB members face! https://t.co/QAhA5E8rJE,2,0
596772731657408512,2015-05-08 20:24:41,RT @StopTheHIT: “We have got to stop the HIT. The HIT is devastating to business.” @RepBoustany #HIThurts #StopTheHIT http://t.co/kRp8cjzl9u,3,0
596704490167767041,2015-05-08 15:53:31,Hearing from Baton Rouge small biz's today w @RepGarretGraves on how my bill to @StopTheHIT will help create #jobs. http://t.co/UY1ai3gHbJ,1,0
596702639863136256,2015-05-08 15:46:10,Great to be with @RepGarretGraves in Baton Rouge for a #SmallBusiness Roundtable on my legislation to @StopTheHIT! http://t.co/vnbwkRFhrv,6,8
596690711002546176,2015-05-08 14:58:46,RT @HealthInFocus: HLC members enjoyed meeting with @RepBoustany this week to discuss #healthcare @EdwardsLifesci @SanofiUS @Walgreens http…,2,0
596684657573236736,2015-05-08 14:34:42,RT @StopTheHIT: Happening today: #SmallBiz round table discussion in LA w/ @RepGarretGraves &amp; @RepBoustany http://t.co/0XCnttBZrS #HIThurts…,1,0
596682656139481088,2015-05-08 14:26:45,It's a privilege to meet the Chinese ambassador in Baton Rouge! China is an important partner for LA. http://t.co/cJ9SX3auxi,0,0
596418751488077824,2015-05-07 20:58:05,.@nfib_la estimates #HIT will cost at least 152k lost jobs by 2023. My bill will #StoptheHIT. http://t.co/ecFCNdnerG @RepGarretGraves,4,0
596418604024868864,2015-05-07 20:57:30,RT @RepGarretGraves: Hope you can join me and @RepBoustany for a discussion with local business leaders! #smallbusinessweek #StoptheHIT htt…,5,0
